family,size,iter,CSR,CA,file
Deepseek-Coder,33B,3,36.7816091954023,14.17624521072797,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fourth-pass/ragcat-rules-gptsummary/Deepseek-Coder-33b-Instruct.jsonl
Deepseek-Coder,6.7B,3,88.69731800766284,45.593869731800766,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fourth-pass/ragcat-rules-gptsummary/Deepseek-Coder-6.7b-Instruct.jsonl
Qwen2.5-Coder,14B,3,89.84674329501917,73.37164750957854,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fourth-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-14B-Instruct.jsonl
Qwen2.5-Coder,32B,3,88.69731800766284,76.0536398467433,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fourth-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-32B-Instruct.jsonl
Qwen2.5-Coder,7B,3,82.56704980842912,57.47126436781609,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fourth-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-7B-Instruct.jsonl
CodeLlama,34B,4,78.73563218390804,25.67049808429119,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fifth-pass/ragcat-rules-gptsummary/CodeLlama-34b-Instruct-hf.jsonl
CodeLlama,7B,4,68.39080459770115,16.091954022988507,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fifth-pass/ragcat-rules-gptsummary/CodeLlama-7b-Instruct-hf.jsonl
Deepseek-Coder,33B,4,37.16475095785441,14.17624521072797,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fifth-pass/ragcat-rules-gptsummary/Deepseek-Coder-33b-Instruct.jsonl
Deepseek-Coder,6.7B,4,89.84674329501917,45.785440613026815,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fifth-pass/ragcat-rules-gptsummary/Deepseek-Coder-6.7b-Instruct.jsonl
Qwen2.5-Coder,14B,4,89.84674329501917,73.37164750957854,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fifth-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-14B-Instruct.jsonl
Qwen2.5-Coder,32B,4,88.88888888888889,76.24521072796935,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fifth-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-32B-Instruct.jsonl
Qwen2.5-Coder,7B,4,82.56704980842912,57.47126436781609,/data/hassan/java2rust-automated-migration/results/javarusttrans/iterations/fifth-pass/ragcat-rules-gptsummary/Qwen2.5-Coder-7B-Instruct.jsonl
